Player,H_ymax,HR_ymax,R_ymax,RBI_ymax,BA_ymax,WAR_best_7,WAR_7,oWAR_7,oWAR_best_7,RAR_best_7,RAR_max,AS,MVP,RAR,WAR,oWAR,Rfield
bregmal01,0,0,1,0,0,24.900000000000002,24.900000000000002,22.8,22.8,248,92,2,1,248,24.900000000000002,22.8,17
brignre01,0,0,0,0,0,1.1,-0.7000000000000002,-0.7,0.8,12,24,0,0,-7,-1.2000000000000004,-1.0999999999999999,-1
brinsle01,0,0,0,0,0,-3.1999999999999997,-3.1999999999999997,-3.3,-3.3,-25,2,0,0,-25,-3.1999999999999997,-3.3,2
broxtke01,0,0,0,0,0,3.8,3.8,1.4,1.4,38,21,0,0,38,3.8,1.4,21
bruceja01,0,0,0,0,0,19.6,15.799999999999999,12.6,15.599999999999998,198,50,3,2,217,20.2,16.499999999999996,33
bryankr01,0,0,1,0,0,27.400000000000002,27.4,27.8,27.799999999999997,282,74,3,1,282,27.400000000000002,27.799999999999997,-1
burnsbi02,0,0,0,0,0,2.2,2.2,2.1,2.1,21,30,0,0,21,2.2,2.1,0
burriem01,0,0,0,0,0,-2.9,-2.9,-1.1,-1.1,-24,4,0,0,-24,-2.9,-1.1,-17
buterdr01,0,0,0,0,0,-0.2,-1.6,0.10000000000000009,0.3,0,3,0,0,-32,-3.7,-2.5,-11
butlebi03,0,0,0,0,1,12.899999999999999,12.5,14.7,14.999999999999998,131,32,1,0,121,11.8,14.4,-25
buxtoby01,0,0,0,0,0,14.5,14.5,8.7,8.7,145,49,0,2,145,14.5,8.7,56
byrdma01,0,0,0,0,0,24.099999999999998,18.8,17.0,21.400000000000002,243,46,1,0,264,25.799999999999997,23.5,21
cabreas01,0,0,0,0,0,21.8,19.599999999999998,22.8,25.3,220,47,2,1,312,30.800000000000004,37.8,-63
cabreme01,1,0,0,0,1,21.3,16.7,20.4,21.9,208,47,1,0,205,20.7,26.099999999999998,-54
cabremi01,3,1,1,4,9,44.800000000000004,43.800000000000004,47.1,49.5,449,76,11,11,685,68.8,78.5,-97
cainlo01,0,0,0,0,1,32.5,32.5,20.8,21.3,318,69,2,0,359,36.7,22.999999999999996,130
calhoko01,0,0,0,0,0,15.600000000000001,15.1,14.3,15.600000000000001,148,37,0,0,149,15.7,15.600000000000003,-4
calhowi01,0,0,0,0,0,-0.9000000000000001,-0.9000000000000001,0.3,0.3,-9,5,0,0,-9,-0.9000000000000001,0.3,-13
camarjo01,0,0,0,0,0,3.6,3.6,3.4999999999999996,3.4999999999999996,39,33,0,0,39,3.6,3.4999999999999996,3
candeje01,0,0,0,0,0,3.7,3.7,5.0,5.0,34,20,0,0,34,3.7,5.0,-16
canhama01,0,0,0,0,0,8.7,8.7,10.5,10.5,85,43,0,0,85,8.7,10.5,-21
canoro01,5,0,0,1,4,49.199999999999996,46.0,42.800000000000004,43.0,481,83,8,6,684,69.3,68.60000000000001,6
caratvi01,0,0,0,0,0,1.7999999999999998,1.7999999999999998,1.5,1.5,20,11,0,0,20,1.7999999999999998,1.5,3
carpema01,1,0,1,0,1,27.0,27.0,28.3,28.3,277,64,3,2,286,27.900000000000002,29.299999999999997,-9
carreez01,0,0,0,0,0,0.5000000000000001,0.5000000000000001,2.3,2.3000000000000003,7,9,0,0,7,0.5000000000000001,2.3000000000000003,-15
cartech02,0,1,0,0,0,3.5,3.5,6.3,6.5,37,18,0,0,29,2.7,5.799999999999999,-31
casalcu01,0,0,0,0,0,4.300000000000001,4.3,3.8,3.8,46,12,0,0,45,4.1000000000000005,3.5000000000000004,8
casteni01,1,0,0,0,0,10.700000000000001,10.700000000000001,17.8,18.7,105,29,0,0,103,10.4,19.0,-85
castiwe01,0,0,0,0,0,12.5,12.5,11.0,11.0,126,38,0,0,123,12.3,11.0,10
castrha01,0,0,0,0,0,-0.5000000000000001,-0.5000000000000001,1.0,1.0,-7,3,0,0,-7,-0.5000000000000001,1.0,-17
castrja01,0,0,0,0,0,12.7,11.8,11.0,12.600000000000001,122,39,1,0,121,12.400000000000002,12.5,-5
castrst01,1,0,0,0,0,15.599999999999998,12.200000000000001,16.7,19.9,164,34,4,1,193,17.8,23.4,-48
caveja01,0,0,0,0,0,2.1999999999999997,2.1999999999999997,2.9,2.9,21,16,0,0,21,2.1999999999999997,2.9,-9
cervefr01,0,0,0,0,0,11.700000000000001,11.5,12.0,12.5,119,34,0,0,143,13.9,13.9,2
cespeyo01,0,0,0,0,0,21.900000000000002,21.900000000000002,20.4,20.4,212,59,2,3,211,21.8,20.299999999999997,10
chapmma01,0,0,0,0,0,20.6,20.6,13.500000000000002,13.500000000000002,203,79,1,2,203,20.6,13.500000000000002,68
chavimi01,0,0,0,0,0,0.30000000000000004,0.30000000000000004,0.4,0.4,4,9,0,0,4,0.30000000000000004,0.4,-1
chiriro01,0,0,0,0,0,13.399999999999999,13.0,10.8,11.2,130,39,0,0,120,12.399999999999999,10.5,16
chiselo01,0,0,0,0,0,8.9,8.8,8.3,8.5,84,17,0,0,86,9.100000000000001,8.8,0
choiji01,0,0,0,0,0,3.2,3.2,3.2,3.2,30,21,0,0,30,3.2,3.2,-1
choosh01,0,0,0,0,0,29.1,24.900000000000002,29.3,33.6,287,57,1,2,341,34.6,42.0,-73
clevest01,0,0,0,0,0,-0.7000000000000001,-0.7000000000000001,-0.19999999999999993,-0.19999999999999993,-6,4,0,0,-6,-0.7000000000000001,-0.19999999999999993,-7
coghlch01,0,0,0,0,0,3.9,2.2,7.300000000000001,8.2,47,23,0,1,23,1.1,6.499999999999999,-50
colabch01,0,0,0,0,1,-0.7000000000000001,-0.7000000000000001,1.6,1.6,-5,7,0,0,-5,-0.7000000000000001,1.6,-22
collity01,0,0,0,0,0,-0.6,-0.6,0.3000000000000001,0.3000000000000001,-5,1,0,0,-5,-0.6,0.3000000000000001,-7
confomi01,0,0,0,0,0,15.000000000000002,15.0,15.299999999999999,15.3,160,39,1,0,160,15.000000000000002,15.3,1
congeha01,0,0,0,0,0,2.1,2.1,3.2,3.2,19,9,0,0,19,2.1,3.2,-13
contrwi01,0,0,0,0,0,13.699999999999998,13.699999999999998,12.1,12.1,143,40,2,0,143,13.699999999999998,12.1,17
coopega03,0,0,0,0,0,1.2999999999999998,1.2999999999999998,1.2999999999999998,1.2999999999999998,15,17,0,0,15,1.2999999999999998,1.2999999999999998,0
correca01,0,0,0,0,1,27.700000000000003,27.7,22.6,22.6,274,69,1,2,274,27.700000000000003,22.6,49
cowgico01,0,0,0,0,0,2.8999999999999995,2.8999999999999995,0.8999999999999999,0.8999999999999999,29,16,0,0,29,2.8999999999999995,0.8999999999999999,18
