tricode,pp,pk,ppgf,competition_name,tid,type,win,goals_for,goals_against,game_count,team_name,win_pct,avg_gf,avg_ga
NYI,42,47,12.0,2015 NHL Playoff,51,3,5,26.0,32.0,11,New York Islanders,0.45454545454545453,2.3636363636363638,2.909090909090909
NYR,26,23,4.0,2015 NHL Playoff,28,3,1,10.0,21.0,5,New York Rangers,0.2,2.0,4.2
PHI,38,32,1.0,2015 NHL Playoff,14,3,2,6.0,14.0,6,Philadelphia Flyers,0.3333333333333333,1.0,2.3333333333333335
PIT,84,94,6.0,2015 NHL Playoff,8,3,16,73.0,54.0,24,Pittsburgh Penguins,0.6666666666666666,3.0416666666666665,2.25
SJS,75,90,29.0,2015 NHL Playoff,16,3,14,75.0,56.0,24,San Jose Sharks,0.5833333333333334,3.125,2.3333333333333335
STL,77,74,15.0,2015 NHL Playoff,7,3,10,57.0,56.0,20,St. Louis Blues,0.5,2.85,2.8
TBL,91,81,19.0,2015 NHL Playoff,25,3,11,48.0,40.0,17,Tampa Bay Lightning,0.6470588235294118,2.823529411764706,2.3529411764705883
WSH,54,66,22.0,2015 NHL Playoff,5,3,6,28.0,22.0,12,Washington Capitals,0.5,2.3333333333333335,1.8333333333333333
ANA,379,340,58.0,2015 NHL Regular Season,21,2,46,222.0,193.0,81,Anaheim Ducks,0.5679012345679012,2.740740740740741,2.382716049382716
ARI,378,364,55.0,2015 NHL Regular Season,43,2,35,204.0,235.0,80,Arizona Coyotes,0.4375,2.55,2.9375
BOS,340,300,60.0,2015 NHL Regular Season,20,2,40,230.0,222.0,79,Boston Bruins,0.5063291139240507,2.911392405063291,2.810126582278481
BUF,278,316,15.0,2015 NHL Regular Season,17,2,34,201.0,220.0,81,Buffalo Sabres,0.41975308641975306,2.4814814814814814,2.7160493827160495
CAR,247,281,48.0,2015 NHL Regular Season,66,2,33,195.0,226.0,81,Carolina Hurricanes,0.4074074074074074,2.4074074074074074,2.7901234567901234
CBJ,356,319,48.0,2015 NHL Regular Season,52,2,32,211.0,242.0,77,Columbus Blue Jackets,0.4155844155844156,2.74025974025974,3.142857142857143
CGY,262,301,47.0,2015 NHL Regular Season,11,2,30,208.0,238.0,75,Calgary Flames,0.4,2.7733333333333334,3.1733333333333333
